N,replica,protocol,leg,k,g,lam,phi,chi,tau_int,acceptance,swap_rate,round_trips,snapshots,snap_no_fluct,snap_no_xi,diam_mean,xi_over_diam,xi_over_diam_err,xi_pooled_over_diam
196,0,sequential,heat,13,3.0,1.0,0.9993785714285713,0.0013202283673469388,165.18086474381658,5.357142857142857e-06,,,100,94,0,14.0,0.13430643142328266,0.007049814147000185,0.13520120910173417
196,0,sequential,heat,14,3.164,1.0,0.9998816326530612,0.0002339885714285714,29.849903545528555,1.0204081632653063e-06,,,100,99,0,14.0,0.11222636080310057,,0.11222636080310057
196,0,sequential,heat,15,3.338,1.0,0.999930612244898,0.0001378318367346938,28.626866817818545,1.530612244897959e-06,,,100,99,0,14.0,0.08703722318723607,,0.08703722318723607
196,0,sequential,heat,16,3.52,1.0,0.9886285714285714,0.23192168653061224,357.8492136794851,0.00029158163265306124,,,100,74,0,13.77,0.14338497576779302,0.007959648344502088,0.13917444912481663
196,0,sequential,heat,17,3.713,1.0,0.7364188775510204,0.1315274917857143,24.961609915857814,0.021284438775510194,,,100,0,0,9.62,0.29230767462001933,0.025912810691633065,0.30795614061351995
196,0,sequential,heat,18,3.917,1.0,0.7072091836734694,0.1535317908163265,28.43409464073225,0.028047193877551026,,,100,0,0,9.39,0.23433991240970287,0.014170735888906646,0.19946187269266366
196,0,sequential,heat,19,4.131,1.0,0.6817520408163266,0.1632661859183674,27.86495522593692,0.03519897959183674,,,100,0,0,9.15,0.28746359816128414,0.03883839999209265,0.2490144469488428
196,0,sequential,heat,20,4.357,1.0,0.6510045918367348,0.1696990326020408,26.303083875660427,0.045366836734693876,,,100,0,0,9.09,0.2827338807022684,0.02842519909410583,0.2645030126457961
196,0,sequential,heat,21,4.596,1.0,0.6236193877551021,0.1672815083673469,12.984933792212807,0.05706913265306121,,,100,0,0,8.91,0.31036694010245924,0.04023211476371689,0.24539264706445646
196,0,sequential,heat,22,4.848,1.0,0.5956566326530612,0.1743946342346939,8.716666113782574,0.07099693877551021,,,100,0,0,8.79,0.3334303679485715,0.043753773810787114,0.2807855369070251
196,0,sequential,heat,23,5.113,1.0,0.5695642857142857,0.18717899408163266,7.894808684514291,0.08593545918367348,,,100,0,0,8.66,0.4582447098035367,0.1054585870236402,0.28279878481817267
196,0,sequential,heat,24,5.393,1.0,0.5422045918367346,0.18903602852040818,6.300700142870289,0.1041923469387755,,,100,0,0,8.48,0.26062822970261307,0.025408530573881767,0.18187078747754065
196,0,sequential,heat,25,5.688,1.0,0.5158397959183674,0.17380642265306123,4.589094941476098,0.12418214285714284,,,100,0,0,8.32,0.341321417821145,0.07299539559301696,0.1885309485184677
196,0,sequential,heat,26,6.0,1.0,0.492719387755102,0.17648199489795915,3.4096398589687307,0.1443969387755102,,,100,0,0,8.21,0.373611255125167,0.16369116652617208,0.18911879872699303
196,0,sequential,heat,27,6.329,1.0,0.46703979591836736,0.18931130591836737,3.326191569310393,0.16975076530612243,,,100,0,0,8.17,0.2790079798684909,0.03620462246571875,0.21252914036527937
196,0,sequential,heat,28,6.675,1.0,0.44469336734693876,0.17582822443877552,2.4803255493428837,0.19381377551020407,,,100,0,0,8.06,0.21549054580736865,0.011662488805654691,0.2086532547295084
196,0,sequential,heat,29,7.041,1.0,0.42342755102040813,0.17694659571428573,2.165622908592257,0.2192992346938776,,,100,0,0,8.02,0.22139185054876045,0.009362572389116117,0.22138711028633057
196,0,sequential,heat,30,7.426,1.0,0.402120918367347,0.18549659954081632,1.998337119177256,0.24667984693877557,,,100,0,0,8.03,0.26295485564193627,0.02570735173828783,0.22952640530075769
196,0,sequential,heat,31,7.833,1.0,0.3816959183673469,0.17850717469387758,1.587904632390298,0.2749951530612245,,,100,0,0,8.0,0.26201025688749535,0.031395672954681896,0.22457008690271776
196,0,sequential,heat,32,8.262,1.0,0.3633474489795918,0.17648673872448978,1.4815021238105683,0.3024382653061225,,,100,0,0,7.98,0.23202425106456834,0.015167529058838464,0.21234942152744102
196,0,sequential,heat,33,8.715,1.0,0.34559285714285715,0.17718474265306125,1.245594496806393,0.33066556122448965,,,100,0,0,8.0,0.5628495493354826,0.2478033958158023,0.2465107017915109
196,0,sequential,heat,34,9.192,1.0,0.3294301020408163,0.1795915056632653,1.144956325137503,0.3583288265306121,,,100,0,0,7.99,0.2950342993901234,0.031511915629421246,0.25734728316576594
196,0,sequential,heat,35,9.695,1.0,0.31345867346938777,0.16984358974489797,1.0419512310922534,0.3864793367346937,,,100,0,0,7.97,0.7647540664367335,0.3870841353611561,0.3240494877988096
196,0,sequential,heat,36,10.226,1.0,0.29850051020408164,0.16912327954081638,0.8770219780488347,0.4142145408163265,,,100,0,0,7.96,0.2993846457098773,0.050745453471844594,0.21532661599030212
196,0,sequential,heat,37,10.786,1.0,0.2858627551020408,0.1644982305612245,0.8386211629069981,0.43920535714285713,,,100,0,0,7.92,0.2692946917004129,0.023516361703986615,0.29432284711791423
196,0,sequential,heat,38,11.377,1.0,0.2729938775510204,0.16299058040816328,0.7861535362836052,0.46563954081632647,,,100,0,0,7.89,0.43746115382284506,0.13119619108332997,0.2839028810681092
196,0,sequential,heat,39,12.0,1.0,0.2611627551020408,0.15907853872448977,0.7290543362184222,0.49030229591836744,,,100,0,0,7.82,0.341228720051799,0.04518859273349338,0.34401055097453614
