N,C,replica,sweep,phi,surplus,bath_T,bath_total,f,final,drift,acceptance,f_final,d0,d1,d2,d3,d4,d5,d6,pieces_d1,largest_d1,pieces_d2,largest_d2
64,16,0,14300,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14400,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14500,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14600,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14700,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14800,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14900,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15000,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15100,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15200,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15300,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15400,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15500,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15600,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15700,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15800,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,15900,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16000,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16100,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16200,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16300,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16400,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16500,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16600,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16700,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16800,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,16900,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17000,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17100,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17200,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17300,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17400,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17500,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17600,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17700,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17800,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,17900,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,18000,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,18100,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,18200,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,18300,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,18400,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,18500,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
