N,lx,ly,spark,replica,left,first_change,phi_start,phi_end,energy_start,energy_end,lowest_energy,demon_end,acceptance,lam,cap
64,16,4,13.0,5,True,3,1.21875,0.96875,1.1875,1.203125,0.875,0.0,0.002632161458333333,1.25,none
64,16,4,13.0,6,True,12,1.21875,0.953125,1.1875,1.140625,0.859375,4.0,0.0022330729166666666,1.25,none
64,16,4,13.0,7,True,40,1.21875,0.96875,1.1875,1.203125,0.859375,0.0,0.002171875,1.25,none
64,16,4,16.0,0,True,26,1.1875,0.9375,1.21875,1.234375,0.828125,1.0,0.0023639322916666665,1.25,none
64,16,4,16.0,1,True,5,1.203125,0.9375,1.125,1.234375,0.8125,1.0,0.002306640625,1.25,none
64,16,4,16.0,2,True,62,1.1875,0.953125,1.21875,1.21875,0.859375,2.0,0.002359375,1.25,none
64,16,4,16.0,3,True,6,1.1875,0.921875,1.21875,1.25,0.78125,0.0,0.0027604166666666667,1.25,none
64,16,4,16.0,4,True,21,1.21875,0.96875,1.1875,1.203125,0.8125,3.0,0.002663411458333333,1.25,none
64,16,4,16.0,5,True,3,1.21875,0.953125,1.1875,1.21875,0.8125,2.0,0.0019309895833333334,1.25,none
64,16,4,16.0,6,True,32,1.1875,0.921875,1.21875,1.25,0.875,0.0,0.002451171875,1.25,none
64,16,4,16.0,7,True,4,1.1875,0.96875,1.21875,1.203125,0.8125,3.0,0.0020774739583333335,1.25,none
96,24,4,4.0,0,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.002593315972222222,1.25,none
96,24,4,4.0,1,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0026002604166666665,1.25,none
96,24,4,4.0,2,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.002592013888888889,1.25,none
96,24,4,4.0,3,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.002592013888888889,1.25,none
96,24,4,4.0,4,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.002576388888888889,1.25,none
96,24,4,4.0,5,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0026432291666666666,1.25,none
96,24,4,4.0,6,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0025733506944444445,1.25,none
96,24,4,4.0,7,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.00259375,1.25,none
96,24,4,8.0,0,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.002593315972222222,1.25,none
96,24,4,8.0,1,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0026002604166666665,1.25,none
96,24,4,8.0,2,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.002592013888888889,1.25,none
96,24,4,8.0,3,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.002592013888888889,1.25,none
96,24,4,8.0,4,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.002576388888888889,1.25,none
96,24,4,8.0,5,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0026432291666666666,1.25,none
96,24,4,8.0,6,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0025733506944444445,1.25,none
96,24,4,8.0,7,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.00259375,1.25,none
96,24,4,10.0,0,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.002593315972222222,1.25,none
96,24,4,10.0,1,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0026002604166666665,1.25,none
96,24,4,10.0,2,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.002592013888888889,1.25,none
96,24,4,10.0,3,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.002592013888888889,1.25,none
96,24,4,10.0,4,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.002576388888888889,1.25,none
96,24,4,10.0,5,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0026432291666666666,1.25,none
96,24,4,10.0,6,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0025733506944444445,1.25,none
96,24,4,10.0,7,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.00259375,1.25,none
96,24,4,11.0,0,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.002593315972222222,1.25,none
96,24,4,11.0,1,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0026002604166666665,1.25,none
96,24,4,11.0,2,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.002592013888888889,1.25,none
96,24,4,11.0,3,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.002592013888888889,1.25,none
96,24,4,11.0,4,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.002576388888888889,1.25,none
96,24,4,11.0,5,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0026432291666666666,1.25,none
96,24,4,11.0,6,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0025733506944444445,1.25,none
96,24,4,11.0,7,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.00259375,1.25,none
96,24,4,11.5,0,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.002593315972222222,1.25,none
96,24,4,11.5,1,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0026002604166666665,1.25,none
96,24,4,11.5,2,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.002592013888888889,1.25,none
96,24,4,11.5,3,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.002592013888888889,1.25,none
96,24,4,11.5,4,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.002576388888888889,1.25,none
96,24,4,11.5,5,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0026432291666666666,1.25,none
96,24,4,11.5,6,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0025733506944444445,1.25,none
96,24,4,11.5,7,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.00259375,1.25,none
96,24,4,12.0,0,True,8,1.2291666666666667,0.9583333333333334,1.125,1.0833333333333333,0.9166666666666666,4.0,0.0018211805555555555,1.25,none
96,24,4,12.0,1,True,3,1.2291666666666667,0.9375,1.125,1.1041666666666667,0.9166666666666666,2.0,0.0019032118055555556,1.25,none
96,24,4,12.0,2,True,5,1.2291666666666667,0.96875,1.125,1.125,0.8958333333333334,0.0,0.0025,1.25,none
96,24,4,12.0,3,True,5,1.21875,0.9791666666666666,1.0833333333333333,1.1145833333333333,0.9166666666666666,1.0,0.0020473090277777777,1.25,none
96,24,4,12.0,4,True,17,1.2291666666666667,0.9479166666666666,1.125,1.0416666666666667,0.8854166666666666,8.0,0.0016558159722222222,1.25,none
96,24,4,12.0,5,True,35,1.2291666666666667,0.9375,1.125,1.1041666666666667,0.875,2.0,0.0014856770833333334,1.25,none
96,24,4,12.0,6,True,4,1.2291666666666667,0.96875,1.125,1.125,0.8229166666666666,0.0,0.0015377604166666667,1.25,none
96,24,4,12.0,7,True,16,1.2291666666666667,0.9583333333333334,1.125,1.0833333333333333,0.8125,4.0,0.00148046875,1.25,none
96,24,4,13.0,0,True,8,1.2291666666666667,0.9583333333333334,1.125,1.1354166666666667,0.8854166666666666,0.0,0.001963541666666667,1.25,none
96,24,4,13.0,1,True,3,1.2291666666666667,0.9583333333333334,1.125,1.1354166666666667,0.875,0.0,0.0016345486111111111,1.25,none
96,24,4,13.0,2,True,5,1.2291666666666667,0.9583333333333334,1.125,1.1354166666666667,0.9583333333333334,0.0,0.0023967013888888888,1.25,none
96,24,4,13.0,3,True,5,1.21875,0.9479166666666666,1.0833333333333333,1.09375,0.90625,4.0,0.00233203125,1.25,none
96,24,4,13.0,4,True,17,1.2291666666666667,0.9583333333333334,1.125,1.1354166666666667,0.9375,0.0,0.0017152777777777778,1.25,none
96,24,4,13.0,5,True,35,1.2291666666666667,0.9583333333333334,1.125,1.1354166666666667,0.875,0.0,0.0022100694444444446,1.25,none
96,24,4,13.0,6,True,4,1.2291666666666667,0.9479166666666666,1.125,1.09375,0.90625,4.0,0.0014518229166666666,1.25,none
96,24,4,13.0,7,True,16,1.2291666666666667,0.9583333333333334,1.125,1.1354166666666667,0.8541666666666666,0.0,0.00168359375,1.25,none
96,24,4,16.0,0,True,127,1.2083333333333333,0.9479166666666666,1.1458333333333333,1.1458333333333333,0.9270833333333334,2.0,0.002150173611111111,1.25,none
96,24,4,16.0,1,True,20,1.2083333333333333,0.9479166666666666,1.1458333333333333,1.1458333333333333,0.9270833333333334,2.0,0.0012408854166666666,1.25,none
96,24,4,16.0,2,True,2,1.2291666666666667,0.9375,1.125,1.15625,0.9166666666666666,1.0,0.0013411458333333333,1.25,none
96,24,4,16.0,3,True,5,1.21875,0.9375,1.0833333333333333,1.15625,0.9166666666666666,1.0,0.0018385416666666667,1.25,none
96,24,4,16.0,4,True,7,1.2291666666666667,0.9479166666666666,1.125,1.1458333333333333,0.875,2.0,0.0013467881944444445,1.25,none
96,24,4,16.0,5,True,2,1.2083333333333333,0.9479166666666666,1.1458333333333333,1.1458333333333333,0.9583333333333334,2.0,0.0018450520833333333,1.25,none
96,24,4,16.0,6,True,4,1.2291666666666667,1.0,1.125,1.1458333333333333,0.9270833333333334,2.0,0.0013472222222222223,1.25,none
96,24,4,16.0,7,True,4,1.2291666666666667,0.96875,1.125,1.125,0.875,4.0,0.0019965277777777776,1.25,none
144,36,4,4.0,0,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.001722511574074074,1.25,none
144,36,4,4.0,1,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0017239583333333334,1.25,none
144,36,4,4.0,2,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0017216435185185186,1.25,none
144,36,4,4.0,3,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0017291666666666666,1.25,none
144,36,4,4.0,4,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0017618634259259258,1.25,none
144,36,4,4.0,5,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0017418981481481482,1.25,none
144,36,4,4.0,6,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0017219328703703704,1.25,none
144,36,4,4.0,7,False,,1.25,1.25,1.0,1.0,1.0,4.0,0.0017372685185185184,1.25,none
144,36,4,8.0,0,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.001722511574074074,1.25,none
144,36,4,8.0,1,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0017239583333333334,1.25,none
144,36,4,8.0,2,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0017216435185185186,1.25,none
144,36,4,8.0,3,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0017291666666666666,1.25,none
144,36,4,8.0,4,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0017618634259259258,1.25,none
144,36,4,8.0,5,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0017418981481481482,1.25,none
144,36,4,8.0,6,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0017219328703703704,1.25,none
144,36,4,8.0,7,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0017372685185185184,1.25,none
144,36,4,10.0,0,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.001722511574074074,1.25,none
144,36,4,10.0,1,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0017239583333333334,1.25,none
144,36,4,10.0,2,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0017216435185185186,1.25,none
144,36,4,10.0,3,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0017291666666666666,1.25,none
144,36,4,10.0,4,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0017618634259259258,1.25,none
144,36,4,10.0,5,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0017418981481481482,1.25,none
144,36,4,10.0,6,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0017219328703703704,1.25,none
144,36,4,10.0,7,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0017372685185185184,1.25,none
144,36,4,11.0,0,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.001722511574074074,1.25,none
144,36,4,11.0,1,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0017239583333333334,1.25,none
144,36,4,11.0,2,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0017216435185185186,1.25,none
144,36,4,11.0,3,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0017291666666666666,1.25,none
144,36,4,11.0,4,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0017618634259259258,1.25,none
144,36,4,11.0,5,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0017418981481481482,1.25,none
144,36,4,11.0,6,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0017219328703703704,1.25,none
144,36,4,11.0,7,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0017372685185185184,1.25,none
144,36,4,11.5,0,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.001722511574074074,1.25,none
144,36,4,11.5,1,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0017239583333333334,1.25,none
144,36,4,11.5,2,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0017216435185185186,1.25,none
144,36,4,11.5,3,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0017291666666666666,1.25,none
144,36,4,11.5,4,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0017618634259259258,1.25,none
144,36,4,11.5,5,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0017418981481481482,1.25,none
144,36,4,11.5,6,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0017219328703703704,1.25,none
144,36,4,11.5,7,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0017372685185185184,1.25,none
144,36,4,12.0,0,True,6,1.2361111111111112,0.9583333333333334,1.0833333333333333,1.0833333333333333,0.9513888888888888,0.0,0.0013894675925925925,1.25,none
144,36,4,12.0,1,True,6,1.2361111111111112,0.9652777777777778,1.0833333333333333,1.0763888888888888,0.9444444444444444,1.0,0.0020471643518518517,1.25,none
