N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
484,0,heat,2.298,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,2.424,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,2.557,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,2.697,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,2.844,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,3.0,0.9999342975206611,0.000516895572351266,0.00012931561983470992,2.0176911157024793e-07,6.357325183722045e-05,0.0001215780837002976,74.9154557990838,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,3.164,0.9999599173553719,0.0004049989438574452,7.93876859504127e-05,2.0176911157024793e-07,3.856475368467584e-05,7.499266464017656e-05,46.782516208495586,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,3.338,0.9942123966942148,0.0037697856789605465,0.006878261487603278,8.877840909090909e-06,0.0007535687049247431,0.0014829977279173026,666.8821314383392,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,3.52,0.8515272727272728,0.1661176275452782,13.356012031735538,0.01271125225981405,0.03579038898734526,1.612195374814191,1121.3879302092664,22,22,1.0,none,0.017482231404958675,1.0,1.0,0.0,0.0
484,0,heat,3.713,0.5965983471074381,0.01779822714645266,0.15332001454545455,0.04700917645919422,0.0013028476245051078,0.00955319262179965,24.963545224035464,22,22,1.0,none,0.03327107438016529,1.0,1.0,0.0,0.0
484,0,heat,3.917,0.5610489669421488,0.018997023795268568,0.1746692659297521,0.06106693488507232,0.0010531185297825358,0.010078376488612742,22.394874019922177,22,22,1.0,none,0.025833677685950414,1.0,1.0,0.0,0.0
484,0,heat,4.131,0.5250731404958676,0.019373012614240452,0.18165179099173553,0.0791531145080062,0.0010368667593908764,0.009700928721805962,16.47601293100481,22,22,1.0,none,0.020722314049586778,1.0,1.0,0.0,0.0
484,0,heat,4.357,0.4917159090909091,0.019280370224765645,0.17991861518595037,0.10026260249870868,0.0012059698215758558,0.003821736786612637,13.232527836448138,22,22,1.0,none,0.016692768595041322,1.0,1.0,0.0,0.0
