N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly
160,3,cool,2.0,0.9283687500000001,0.005631867335751102,0.005074868750000035,0.0017427083333333333,0.0012298091150908875,0.0019519904080148973,331.7112835007951,16,10
160,3,cool,0.562,0.9625000000000002,2.220446049250313e-16,7.888609052210118e-30,0.001146875,0.0,0.0,nan,16,10
160,3,cool,0.316,0.9625000000000002,2.220446049250313e-16,7.888609052210118e-30,0.0010942708333333334,0.0,0.0,nan,16,10
160,3,cool,0.178,0.9625000000000002,2.220446049250313e-16,7.888609052210118e-30,0.0011125,0.0,0.0,nan,16,10
160,3,cool,0.1,0.9625000000000002,2.220446049250313e-16,7.888609052210118e-30,0.0010703125,0.0,0.0,nan,16,10
160,3,heat,0.1,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,3,heat,0.178,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,3,heat,0.316,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,3,heat,0.562,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,3,heat,2.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,3,heat,3.98,0.75246875,0.12717436587590086,2.5877310937499995,0.0131203125,0.026764915585511764,0.5560866863853113,385.14212235604407,16,10
160,3,heat,5.01,0.57505625,0.030205299488458976,0.14597761875,0.07282291666666667,0.001586057656196422,0.008400543315053993,7.413518356167836,16,10
160,3,heat,5.62,0.531078125,0.02828547534043533,0.12801089843750002,0.10444427083333334,0.0012169402420997492,0.004914301962090768,4.998889511949735,16,10
160,3,heat,5.75,0.517875,0.028202947540992944,0.127265,0.11419947916666667,0.0010643927979418811,0.004575708479806571,4.106124934625005,16,10
160,3,heat,5.89,0.5064390625,0.02994613323947006,0.14348334335937496,0.1240890625,0.001998444796886111,0.008970907476554133,5.269766117152179,16,10
160,3,heat,6.03,0.4986375,0.03024055637715682,0.14631860000000002,0.1312484375,0.0013510362740427441,0.005737170751873229,3.5715609523351,16,10
160,3,heat,6.31,0.483071875,0.030763734070888973,0.1514251734375,0.14745729166666666,0.0013210557593258685,0.005633033421187399,3.1747774807411924,16,10
160,3,heat,7.94,0.4018421875,0.031917173348995735,0.162992952734375,0.24989322916666667,0.0009759923104355367,0.0037566957552580427,1.3889972905867127,16,10
160,3,heat,10,0.33419843749999995,0.031441104376812114,0.15816688710937502,0.36178229166666664,0.0006498644925683904,0.003647601719358782,0.9718514143384859,16,10
160,3,heat,15.85,0.24277812499999998,0.030374176782826147,0.1476144984375,0.5581916666666666,0.0004888763473497636,0.003725087491902095,0.5984903932178537,16,10
160,3,heat,25.1,0.191715625,0.028537290399744945,0.1303003109375,0.6915708333333334,0.000628223532158277,0.0036697049948943355,0.6392580528145466,16,10
160,3,heat,31.6,0.17566250000000003,0.02780355474125566,0.123686025,0.7366921875,0.0003770908074463581,0.0029054565210593674,0.46250942173877385,16,10
160,3,heat,39.8,0.162175,0.026736047763272715,0.11437059999999999,0.77351875,0.0004138240898071142,0.0028960718288943378,0.5268599520879863,16,10
160,3,heat,63.1,0.145475,0.026491319332943766,0.11228640000000001,0.8236375,0.00038889256292457875,0.0021409046630482993,0.5004886648489951,16,10
160,3,heat,79.4,0.1398984375,0.025883215737879127,0.10719053710937501,0.8402869791666666,0.00037399064624207097,0.0025284201897585574,0.506574760582822,16,10
160,3,heat,100,0.13553593749999998,0.02524566557591805,0.101974980859375,0.854125,0.0003634845596547698,0.0018649593248371888,0.4952760987702741,16,10
160,3,heat,177.8,0.128859375,0.02529682674485824,0.10238871093750002,0.875690625,0.00038146400923520535,0.0017464277489799705,0.5174270069582639,16,10
