N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac,swap_rate,round_trips
64,2,temper,2.0,0.98029453125,0.0152453940718262,0.0148750105859375,0.0006971354166667029,0.0009629714378394631,0.001619079584318162,4.34726031674527,16,4,1.25,none,0.038591015625,1.05845,0.9826546875,0.0,0.0,0.8278333333333333,6
64,2,temper,1.85,0.9820625,0.015049933165341632,0.01449603125,0.0006234375000000277,0.001095544682972598,0.0016749058086687613,5.704503334437205,16,4,1.25,none,0.036892578125,1.082,0.97547890625,0.0,0.0,0.8036666666666666,6
64,2,temper,1.7,0.98520390625,0.01510369187247644,0.014599776523437498,0.0005332031250000173,0.0008313157903211664,0.001244133255189491,4.696539850155718,16,4,1.25,none,0.038286328125,1.121875,0.96182578125,0.0,0.0,0.6953333333333334,6
64,2,temper,1.55,0.991772265625,0.013684982728846183,0.011985840146484373,0.0004365885416666711,0.0004682954617169815,0.0009013574592608447,5.111845339010804,16,4,1.25,none,0.03786484375,1.27165,0.90304296875,0.0,0.0,0.448,6
64,2,temper,1.4,0.998790234375,0.00586052841512123,0.002198130771484375,0.00012864583333333326,0.00011104453642216739,0.00016246089894466262,5.4222563788521105,16,4,1.25,none,0.009741015625,1.8095,0.673546875,0.0,0.0,,6
64,3,temper,8.0,0.621984375,0.050171826339123086,0.161101578125,0.14155481770833328,0.0004257730516154508,0.0014174581062694194,1.7305926906387843,16,4,1.25,none,0.04835703125,1.0,1.0,0.0,0.0,0.3601666666666667,7
64,3,temper,6.5,0.685329296875,0.04854945440015253,0.15085116944335936,0.0875766927083333,0.0004926262307218212,0.001344568757817482,2.8062897467380212,16,4,1.25,none,0.06547421875,1.0,1.0,0.0,0.0,0.36583333333333334,7
64,3,temper,5.4,0.744714453125,0.04601222935363546,0.1354960160058594,0.05213802083333343,0.0008590874420942649,0.002771543222218992,5.262160131003045,16,4,1.25,none,0.084862890625,1.0,1.0,0.0,0.0,0.32133333333333336,7
64,3,temper,4.5,0.8040546875,0.04282222103938671,0.11735952734375,0.027585286458333292,0.0007799619351263062,0.0019417614467612829,8.765141481182031,16,4,1.25,none,0.103350390625,1.0,1.0,0.0,0.0,0.31316666666666665,7
64,3,temper,3.8,0.859531640625,0.036944698759754084,0.08735428905273439,0.013701432291666654,0.001342826529444944,0.0019576743768310906,17.64644912566847,16,4,1.25,none,0.116573828125,1.00015,0.9999484375,0.0,0.0,0.35083333333333333,7
