source,N,n_loops,n_cubes,eigenvalue,multiplicity,loc_loops,loc_each_loop,loc_loops_collar,loc_cube,random_max_here,pr_best
n144_adj/N144_rep5,144,2,0,6.561215877,2,0.000000,0.000000|0.000000,0.000000,,0.100728,74.667
n144_adj/N144_rep5,144,2,0,6.840527715,1,0.000341,0.000170|0.000170,0.475905,,0.136702,14.172
n144_adj/N144_rep5,144,2,0,6.917633722,1,0.096583,0.048291|0.048291,0.606908,,0.183699,16.262
n144_adj/N144_rep5,144,2,0,7.04891734,2,0.000000,0.000000|0.000000,0.000000,,0.100078,74.667
n144_adj/N144_rep5,144,2,0,7.3782083,1,0.491667,0.245833|0.245833,0.978283,,0.150832,21.140
n144_adj/N144_rep5,144,2,0,7.451429626,2,0.000000,0.000000|0.000000,0.000000,,0.110786,74.667
n144_adj/N144_rep5,144,2,0,7.75179356,2,0.000000,0.000000|0.000000,0.000000,,0.123222,inf
n144_adj/N144_rep5,144,2,0,7.937280244,2,0.000000,0.000000|0.000000,0.000000,,0.109251,inf
n144_adj/N144_rep5,144,2,0,8,2,0.250000,0.125000|0.125000,0.750000,,0.093750,32.000
n192a_adj/N192_rep3,192,1,0,0.01722053283,1,0.042051,0.042051,0.124712,,0.029398,128.922
n192a_adj/N192_rep3,192,1,0,0.06960135215,1,0.042788,0.042788,0.122512,,0.034047,129.034
n192a_adj/N192_rep3,192,1,0,0.157751542,1,0.043225,0.043225,0.116575,,0.032431,127.421
n192a_adj/N192_rep3,192,1,0,0.2800145174,1,0.043061,0.043061,0.106756,,0.035892,126.573
n192a_adj/N192_rep3,192,1,0,0.3159427352,1,0.000000,0.000000,0.000000,,0.048136,34.573
n192a_adj/N192_rep3,192,1,0,0.4321443721,1,0.042370,0.042370,0.094446,,0.033342,127.290
n192a_adj/N192_rep3,192,1,0,0.6088682558,1,0.000000,0.000000,0.002221,,0.045058,73.473
n192a_adj/N192_rep3,192,1,0,0.609116501,1,0.041697,0.041697,0.082029,,0.035945,127.716
n192a_adj/N192_rep3,192,1,0,0.6110174478,1,0.000000,0.000000,0.002518,,0.046685,71.332
n192a_adj/N192_rep3,192,1,0,0.6775408011,1,0.000000,0.000000,0.008672,,0.045897,73.561
n192a_adj/N192_rep3,192,1,0,0.6840145609,1,0.000000,0.000000,0.009354,,0.045214,74.561
n192a_adj/N192_rep3,192,1,0,0.7900893942,1,0.000000,0.000000,0.018729,,0.065807,73.735
n192a_adj/N192_rep3,192,1,0,0.7983929051,1,0.000000,0.000000,0.018913,,0.048342,78.717
n192a_adj/N192_rep3,192,1,0,0.8086592818,1,0.041830,0.041830,0.071515,,0.032149,127.389
n192a_adj/N192_rep3,192,1,0,0.9436618353,1,0.000000,0.000000,0.031407,,0.055165,74.046
n192a_adj/N192_rep3,192,1,0,0.9457551741,1,0.000000,0.000000,0.029257,,0.042444,83.829
n192a_adj/N192_rep3,192,1,0,1.031770232,1,0.042749,0.042749,0.062787,,0.035860,127.809
n192a_adj/N192_rep3,192,1,0,1.116379965,1,0.000000,0.000000,0.038767,,0.060220,88.866
n192a_adj/N192_rep3,192,1,0,1.134234861,1,0.000000,0.000000,0.045418,,0.040111,74.618
n192a_adj/N192_rep3,192,1,0,1.277617435,1,0.043636,0.043636,0.055022,,0.036698,127.890
n192a_adj/N192_rep3,192,1,0,1.304699628,1,0.000000,0.000000,0.048450,,0.049987,90.788
n192a_adj/N192_rep3,192,1,0,1.356373809,1,0.000000,0.000000,0.059146,,0.051794,75.856
n192a_adj/N192_rep3,192,1,0,1.515678815,1,0.000000,0.000000,0.060428,,0.038396,89.533
n192a_adj/N192_rep3,192,1,0,1.540363524,1,0.043847,0.043847,0.048479,,0.042602,126.399
n192a_adj/N192_rep3,192,1,0,1.601532103,1,0.000000,0.000000,0.069615,,0.059542,80.190
n192a_adj/N192_rep3,192,1,0,1.753982871,1,0.000000,0.000000,0.072640,,0.043913,87.188
n192a_adj/N192_rep3,192,1,0,1.809743115,1,0.042858,0.042858,0.043633,,0.042960,121.015
n192a_adj/N192_rep3,192,1,0,1.823416789,1,0.000000,0.000000,0.000000,,0.061842,23.194
n192a_adj/N192_rep3,192,1,0,1.825205878,1,0.000000,0.000000,0.040651,,0.057712,54.177
n192a_adj/N192_rep3,192,1,0,1.921016593,1,0.000000,0.000000,0.048238,,0.042347,59.092
n192a_adj/N192_rep3,192,1,0,1.977384525,1,0.000635,0.000635,0.001935,,0.050461,50.476
n192a_adj/N192_rep3,192,1,0,2.005516818,1,0.047279,0.047279,0.141033,,0.037753,112.179
n192a_adj/N192_rep3,192,1,0,2.008975315,1,0.056603,0.056603,0.168795,,0.041373,99.008
n192a_adj/N192_rep3,192,1,0,2.014729941,1,0.000000,0.000000,0.082032,,0.051345,85.698
n192a_adj/N192_rep3,192,1,0,2.046566435,1,0.045285,0.045285,0.119917,,0.047045,96.221
n192a_adj/N192_rep3,192,1,0,2.065857712,1,0.048707,0.048707,0.139812,,0.038645,114.675
n192a_adj/N192_rep3,192,1,0,2.074668641,1,0.044822,0.044822,0.068865,,0.051220,91.737
n192a_adj/N192_rep3,192,1,0,2.124189998,1,0.000000,0.000000,0.040296,,0.046781,47.161
n192a_adj/N192_rep3,192,1,0,2.144081943,1,0.048504,0.048504,0.126422,,0.035605,97.856
n192a_adj/N192_rep3,192,1,0,2.161593584,1,0.045140,0.045140,0.121420,,0.032127,120.498
n192a_adj/N192_rep3,192,1,0,2.213262403,1,0.000000,0.000000,0.052571,,0.041343,68.542
n192a_adj/N192_rep3,192,1,0,2.266380082,1,0.047119,0.047119,0.108391,,0.036349,92.111
n192a_adj/N192_rep3,192,1,0,2.284016746,1,0.040277,0.040277,0.099578,,0.033759,122.374
n192a_adj/N192_rep3,192,1,0,2.288324625,1,0.000000,0.000000,0.087030,,0.066984,85.177
n192a_adj/N192_rep3,192,1,0,2.337098451,1,0.043506,0.043506,0.061598,,0.042411,91.690
n192a_adj/N192_rep3,192,1,0,2.4170076,1,0.035395,0.035395,0.079742,,0.033573,117.823
n192a_adj/N192_rep3,192,1,0,2.451529421,1,0.048303,0.048303,0.100236,,0.039045,92.097
n192a_adj/N192_rep3,192,1,0,2.45430192,1,0.000000,0.000000,0.081421,,0.034563,91.102
n192a_adj/N192_rep3,192,1,0,2.556149054,1,0.031696,0.031696,0.064734,,0.051165,89.281
n192a_adj/N192_rep3,192,1,0,2.564054508,1,0.000000,0.000000,0.086946,,0.062349,67.787
n192a_adj/N192_rep3,192,1,0,2.580499341,1,0.043942,0.043942,0.059540,,0.063387,92.768
n192a_adj/N192_rep3,192,1,0,2.669804515,1,0.047252,0.047252,0.084565,,0.030732,93.053
n192a_adj/N192_rep3,192,1,0,2.679164754,1,0.024708,0.024708,0.046260,,0.049817,68.178
n192a_adj/N192_rep3,192,1,0,2.692676365,1,0.000000,0.000000,0.069120,,0.032733,87.436
n192a_adj/N192_rep3,192,1,0,2.829034086,1,0.037221,0.037221,0.062739,,0.037462,100.439
n192a_adj/N192_rep3,192,1,0,2.831551166,1,0.000000,0.000000,0.082396,,0.049153,89.649
n192a_adj/N192_rep3,192,1,0,2.833588769,1,0.045556,0.045556,0.063927,,0.037974,92.543
n192a_adj/N192_rep3,192,1,0,2.906791212,1,0.000000,0.000000,0.070339,,0.046453,92.265
n192a_adj/N192_rep3,192,1,0,2.90802519,1,0.046304,0.046304,0.072855,,0.049298,101.616
n192a_adj/N192_rep3,192,1,0,3.044611003,1,0.042435,0.042435,0.061802,,0.045675,105.998
n192a_adj/N192_rep3,192,1,0,3.085648583,1,0.046323,0.046323,0.073158,,0.040679,109.324
n192a_adj/N192_rep3,192,1,0,3.085767404,1,0.000000,0.000000,0.076645,,0.036099,84.299
n192a_adj/N192_rep3,192,1,0,3.092949803,1,0.000000,0.000000,0.009564,,0.069330,24.124
n192a_adj/N192_rep3,192,1,0,3.160690744,1,0.000000,0.000000,0.071019,,0.052044,87.291
n192a_adj/N192_rep3,192,1,0,3.161473087,1,0.046082,0.046082,0.062878,,0.042932,110.392
n192a_adj/N192_rep3,192,1,0,3.287528435,1,0.042180,0.042180,0.052886,,0.035313,112.528
n192a_adj/N192_rep3,192,1,0,3.319665804,1,0.046902,0.046902,0.087587,,0.033031,116.007
n192a_adj/N192_rep3,192,1,0,3.331468205,1,0.000000,0.000000,0.071725,,0.054468,81.662
n192a_adj/N192_rep3,192,1,0,3.414160915,1,0.000000,0.000000,0.072574,,0.044033,83.674
n192a_adj/N192_rep3,192,1,0,3.430674894,1,0.045640,0.045640,0.053060,,0.040141,121.940
n192a_adj/N192_rep3,192,1,0,3.435449018,1,0.000000,0.000000,0.002446,,0.041890,77.905
n192a_adj/N192_rep3,192,1,0,3.438981815,1,0.000000,0.000000,0.003463,,0.045725,72.077
n192a_adj/N192_rep3,192,1,0,3.496097021,1,0.000000,0.000000,0.008676,,0.041142,81.057
n192a_adj/N192_rep3,192,1,0,3.510653802,1,0.000000,0.000000,0.009656,,0.046134,73.536
n192a_adj/N192_rep3,192,1,0,3.527838633,1,0.047842,0.047842,0.103650,,0.031156,114.294
n192a_adj/N192_rep3,192,1,0,3.531973366,1,0.038476,0.038476,0.042690,,0.047806,102.049
n192a_adj/N192_rep3,192,1,0,3.57356769,1,0.000000,0.000000,0.057489,,0.050144,89.580
n192a_adj/N192_rep3,192,1,0,3.598662529,1,0.000000,0.000000,0.023363,,0.036556,95.136
n192a_adj/N192_rep3,192,1,0,3.609988183,1,0.001576,0.001576,0.001696,,0.035596,23.719
n192a_adj/N192_rep3,192,1,0,3.623763576,1,0.000000,0.000000,0.022073,,0.049018,79.697
n192a_adj/N192_rep3,192,1,0,3.662602217,1,0.000000,0.000000,0.058847,,0.039462,88.172
n192a_adj/N192_rep3,192,1,0,3.69908849,1,0.045620,0.045620,0.084958,,0.044179,84.356
n192a_adj/N192_rep3,192,1,0,3.713542932,1,0.047598,0.047598,0.081409,,0.040669,77.210
n192a_adj/N192_rep3,192,1,0,3.724877274,1,0.000000,0.000000,0.025134,,0.049355,82.494
