N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
64,2,cool,9,0.6274453125,0.05597264030222573,0.20050793359375,0.15470052083333333,0.002418277609060305,0.006723369625418494,2.509394554525137,8,8,0.0,none,0.0796484375,1.0,1.0,0.0,0.0
64,2,cool,8,0.67746875,0.058362744631635516,0.2179974375,0.11371875,0.00248620572792555,0.008597908891133056,3.4621262620362385,8,8,0.0,none,0.11033203125,1.0,1.0,0.0,0.0
64,2,cool,7.5,0.70508203125,0.05976039077876143,0.2285634755859375,0.09687239583333333,0.002826341406845052,0.011013254108613197,5.133390719916555,8,8,0.0,none,0.13147265625,1.0,1.0,0.0,0.0
64,2,cool,7,0.79066015625,0.1078968702228282,0.7450710146484373,0.07137630208333333,0.019156082081140755,0.16868639204153346,172.50597917501702,8,8,0.0,none,0.2544140625,1.1655,0.963796875,0.036203125,0.0
64,2,cool,6.5,0.81840625,0.0802266016804121,0.4119236875,0.05043489583333333,0.008567688585376097,0.055373145452091065,28.98318427799903,8,8,0.0,none,0.25715234375,1.0,1.0,0.0,0.0
64,2,cool,6,1.4811875,0.04580653098904129,0.13428725000000002,0.004838541666666666,0.008670079331035288,0.10089012040610515,64.18031099941234,8,8,0.0,none,1.9323671875,3.9525,0.261875,0.90225,0.90225
64,2,cool,5.5,1.49087109375,0.016013924738253922,0.0164125302734375,0.00024609375,0.0017703438475510913,0.0026856343780741593,27.09566186651597,8,8,0.0,none,1.963484375,4.0,0.25,0.9316875,0.9316875
64,2,cool,5,1.49733984375,0.009417416252977031,0.0056760146484375,0.0001484375,0.0012067795397942497,0.002598907199983794,43.59202514771078,8,8,0.0,none,1.989359375,4.0,0.25,0.97975,0.97975
64,2,cool,4.5,1.49846875,0.007556686815331175,0.003654625000000001,5.46875e-05,0.0007013849886786443,0.0016448048432479334,16.7792996698751,8,8,0.0,none,1.993875,4.0,0.25,0.98875,0.98875
64,2,cool,4,1.4995234375,0.003829551711178966,0.0009385898437499999,3.3854166666666665e-05,0.0001861216813631306,0.0003597662381549865,5.195409300746405,8,8,0.0,none,1.99809375,4.0,0.25,0.9961875,0.9961875
64,2,cool,3.5,1.4999296875,0.0014806491067581645,0.00014030859375000003,2.6041666666666666e-06,6.924849635945815e-05,0.00013748565319286356,4.460185784871183,8,8,0.0,none,1.99971875,4.0,0.25,0.9994375,0.9994375
64,2,cool,3,1.4998984375,0.0017786267690535161,0.00020246484374999998,2.6041666666666666e-06,9.634293909811158e-05,0.00019104117902064697,6.4180784048716255,8,8,0.0,none,1.99959375,4.0,0.25,0.9991875,0.9991875
64,2,heat,3.5,1.499328125,0.004532623714183099,0.0013148593749999998,1.5625e-05,0.0004419982711274757,0.0008362502712523961,20.07622492469237,8,8,0.0,none,1.9973125,4.0,0.25,0.994625,0.994625
64,2,heat,4,1.4991953125,0.005237236857575161,0.0017554335937500002,2.34375e-05,0.0004609150616890245,0.0010128773454515527,16.677742838622773,8,8,0.0,none,1.99678125,4.0,0.25,0.9940625,0.9940625
64,2,heat,4.5,1.4996796875,0.0031475650155864533,0.0006340585937500001,3.125e-05,0.0001295903966289134,0.0002534455452999185,4.1790596442629315,8,8,0.0,none,1.99871875,4.0,0.25,0.9974375,0.9974375
64,2,heat,5,1.4978125,0.008361930100162283,0.004475000000000001,0.00010286458333333333,0.0005190276259050486,0.001018086081569156,9.614572351069437,8,8,0.0,none,1.99125,4.0,0.25,0.98325,0.98325
64,2,heat,5.5,1.49301953125,0.015226676239794535,0.014838506835937501,0.00023567708333333334,0.0014409293234314122,0.0028558717729120853,22.998728593817027,8,8,0.0,none,1.972078125,4.0,0.25,0.9490625,0.9490625
64,2,heat,6,1.492890625,0.014690616358219114,0.013812109375000001,0.00034114583333333333,0.0014002693672223346,0.0022520978464228665,18.486842815354635,8,8,0.0,none,1.9715625,4.0,0.25,0.9470625,0.9470625
64,2,heat,6.5,1.4887421875,0.01874596147913848,0.02249030859375,0.0005520833333333334,0.0016744433245175759,0.0034285145262023813,19.65690222441287,8,8,0.0,none,1.95496875,4.0,0.25,0.9170625,0.9170625
64,2,heat,7,1.47301953125,0.029978363118239516,0.057516944335937494,0.0009778645833333334,0.0029132940052663072,0.007885618324235262,24.29721526389725,8,8,0.0,none,1.89303125,3.98475,0.2538125,0.8116875,0.8116875
64,2,heat,7.5,1.46316796875,0.0349774007588153,0.07829878808593749,0.0012786458333333332,0.004373549865773311,0.018820003284386308,31.28719002082784,8,8,0.0,none,1.85609375,3.9475,0.263125,0.7576875,0.7576875
64,2,heat,8,0.81183203125,0.28470037294128236,5.187475350585937,0.06359765625,0.063575445786862,1.9010473665616228,285.8674711399853,8,8,0.0,none,0.39278125,1.4375,0.889125,0.102125,0.102125
64,2,heat,9,0.63066015625,0.060649409022836616,0.23541445214843748,0.15327083333333333,0.0016131937305823311,0.010266351399558553,2.8595897185624595,8,8,0.0,none,0.0832421875,1.0,1.0,0.0,0.0
64,2,heat,10,0.59166796875,0.05536741279652024,0.1961952255859375,0.19185416666666666,0.0016382312875369129,0.004676394993132564,1.5949993145556767,8,8,0.0,none,0.06389453125,1.0,1.0,0.0,0.0
64,2,heat,12,0.53669140625,0.05526806110667544,0.19549174902343747,0.25469140625,0.0011719360211977334,0.00417508899634885,1.0158638650102103,8,8,0.0,none,0.04351953125,1.0,1.0,0.0,0.0
64,2,heat,15,0.48584765625,0.055799775760979414,0.1992713583984375,0.32986588541666667,0.00118332858261086,0.0032584976777125696,0.816208133327243,8,8,0.0,none,0.030125,1.0,1.0,0.0,0.0
64,2,heat,20,0.43228125,0.053385034551478,0.1823975625,0.41866276041666667,0.001058431951311297,0.00406159840648647,0.6572427314893896,8,8,0.0,none,0.01908984375,1.0,1.0,0.0,0.0
64,2,heat,30,0.38151171875,0.05444605055708493,0.1897198349609375,0.5144518229166667,0.0007338481161774466,0.004355246233809385,0.5179775450412623,8,8,0.0,none,0.0123046875,1.0,1.0,0.0,0.0
64,2,heat,100,0.3146171875,0.052946943681527484,0.17941624609374998,0.6588046875,0.0007759792947661441,0.003722959858003299,0.4425202542721551,8,8,0.0,none,0.006078125,1.0,1.0,0.0,0.0
64,3,cool,100,0.31333203125,0.052916443655590395,0.1792096005859375,0.6590911458333333,0.0008730843671689618,0.003840615528415996,0.5133704769205263,8,8,0.0,none,0.00571484375,1.0,1.0,0.0,0.0
64,3,cool,30,0.3826015625,0.05370050807833287,0.18455965234375002,0.5133697916666666,0.0009094038390441626,0.004516987856892237,0.5365772201959165,8,8,0.0,none,0.01262890625,1.0,1.0,0.0,0.0
64,3,cool,20,0.43162109375,0.054799407682907135,0.19219040527343753,0.4192578125,0.0010784605613433668,0.004625054959973376,0.5925932756059552,8,8,0.0,none,0.0189921875,1.0,1.0,0.0,0.0
64,3,cool,15,0.48626171875,0.054983949712185544,0.19348702246093752,0.32884895833333333,0.001144441909269058,0.0037942655328851507,0.7824639750898196,8,8,0.0,none,0.0298046875,1.0,1.0,0.0,0.0
64,3,cool,12,0.538546875,0.05670801163843055,0.20581110937499994,0.2554166666666667,0.0016245464149670613,0.004701601172138502,1.095400072951813,8,8,0.0,none,0.0445859375,1.0,1.0,0.0,0.0
64,3,cool,10,0.59292578125,0.05648597948425696,0.20420261621093747,0.18989453125,0.0013742695391721316,0.005630861374029641,1.5867327433774125,8,8,0.0,none,0.0638828125,1.0,1.0,0.0,0.0
64,3,cool,9,0.6322421875,0.05889851522080029,0.22201824609375,0.15448697916666668,0.0018590402623290478,0.009034509283782119,2.39070598164223,8,8,0.0,none,0.08287109375,1.0,1.0,0.0,0.0
64,3,cool,8,0.68176953125,0.06112300378079044,0.23910538183593746,0.11527473958333333,0.002413614279725819,0.009935175654100601,4.04092111731935,8,8,0.0,none,0.113453125,1.0,1.0,0.0,0.0
64,3,cool,7.5,0.71196484375,0.06130931625888382,0.2405652646484375,0.09362369791666666,0.00370305153384239,0.014304865354594964,9.14925151948334,8,8,0.0,none,0.13688671875,1.0,1.0,0.0,0.0
64,3,cool,7,0.7493828125,0.06610767389902508,0.27969437109374995,0.07572786458333333,0.004560878003710894,0.03211117242752967,10.196717565206425,8,8,0.0,none,0.17210546875,1.0,1.0,0.0,0.0
64,3,cool,6.5,0.789546875,0.06778088080524165,0.29403185937500004,0.05906640625,0.0053156963071624465,0.0262481881891977,16.580979125565847,8,8,0.0,none,0.213203125,1.0,1.0,0.0,0.0
64,3,cool,6,1.39505859375,0.03552836378414732,0.08078493652343749,0.002734375,0.006878976796539869,0.021344100184585515,200.5983033286705,8,8,0.0,none,1.6109375,3.78025,0.3361875,0.6324375,0.4136875
64,3,cool,5.5,1.413453125,0.012193297899742916,0.009515296875,0.0010494791666666667,0.0011993762944916687,0.0021392969866674064,16.508443381191025,8,8,0.0,none,1.6611640625,3.99875,0.2815625,0.7015625,0.4828125
64,3,cool,5,1.41741796875,0.00913604903488228,0.0053419130859375,0.00066015625,0.0005284286259118673,0.0011015461835890202,14.836377336318865,8,8,0.0,none,1.6742265625,4.0,0.28125,0.711,0.49225
64,3,cool,4.5,1.4176015625,0.008460584018470224,0.0045812148437500005,0.0005403645833333333,0.0005117130638997089,0.0007314042219069232,10.22255515950919,8,8,0.0,none,1.675171875,4.0,0.28125,0.713,0.49425
