N,protocol,points,E,achieved,radius,leak,local_heat,replica,block,sweep,h,folded,flat,melted,d0,d1,d2,d3,d4,d5,d6,pieces_folded,largest_folded,pieces_damage,largest_damage,stores_total,stores_max,lost,drift,symmetries,final
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,3,300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,4,400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,5,500,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,6,600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,7,700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,8,800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,9,900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,10,1000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,11,1100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,12,1200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,13,1300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,14,1400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,15,1500,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,16,1600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,17,1700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,18,1800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,19,1900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,20,2000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,21,2100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,22,2200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,23,2300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,24,2400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,25,2500,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,26,2600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,27,2700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,28,2800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,29,2900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,30,3000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,31,3100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,32,3200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,33,3300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,34,3400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
