N,lam,g,replica,class_id,S,X,A,p_interchangeable,p_named,f_interchangeable_chain,f_named_chain,f_named_reweighted
18,1.0,10.0,3,18,21,12,2,0.09476769538619666,0.11100358277105621,0.08355,0.11455,0.09844871299041726
18,1.0,10.0,3,19,19,9,2,0.01282541289677196,0.015022701314599676,0.0123,0.0144,0.01237591852520304
18,1.0,10.0,3,20,20,11,1,0.02854348132658114,0.06686727326431835,0.02645,0.06605,0.028382965923252113
18,1.0,10.0,3,21,20,12,2,0.019133267716851275,0.02241123684640777,0.0163,0.02395,0.02058355893601478
18,1.0,10.0,3,22,20,12,4,0.019133267716851275,0.011205618423203886,0.01675,0.01075,0.018477933909157317
18,1.0,10.0,3,23,22,16,4,0.09476769538619666,0.055501791385528104,0.0858,0.0622,0.10691418503717072
18,1.0,10.0,3,24,18,8,4,0.003862940129891823,0.0022623753416216256,0.0042,0.0017,0.0029220918740062735
18,1.0,10.0,3,25,18,9,9,0.002589406205702005,0.000674006908064757,0.00255,0.00035,0.0013536160886940827
18,1.0,10.0,4,0,18,0,18,0.09476769538619666,0.012333731419006245,0.09225,0.0091,0.07523770152955768
18,1.0,10.0,4,1,18,4,2,0.019133267716851275,0.02241123684640777,0.0211,0.0216,0.01984291029350972
18,1.0,10.0,4,2,18,0,12,0.09476769538619666,0.01850059712850937,0.0925,0.01455,0.0801984291029351
18,1.0,10.0,4,3,18,2,4,0.04258187039965614,0.024938562429909477,0.042,0.01995,0.03665426484773322
18,1.0,10.0,4,4,18,0,72,0.09476769538619666,0.0030834328547515613,0.0991,0.00255,0.0843323687474163
18,1.0,10.0,4,5,18,4,8,0.019133267716851275,0.005602809211601943,0.0207,0.00435,0.01598456662532727
18,1.0,10.0,4,6,18,6,6,0.008597131363390263,0.003356672612260704,0.0099,0.0034,0.009370263194157366
18,1.0,10.0,4,7,19,8,1,0.019133267716851275,0.04482247369281554,0.01895,0.0449,0.0206237655596895
18,1.0,10.0,4,8,19,10,1,0.008597131363390263,0.020140035673564226,0.0091,0.0217,0.009967387809471316
18,1.0,10.0,4,9,19,9,1,0.01282541289677196,0.03004540262919935,0.01335,0.03,0.013779798814937303
18,1.0,10.0,4,10,20,11,1,0.02854348132658114,0.06686727326431835,0.0302,0.06695,0.030751917688668414
18,1.0,10.0,4,11,20,10,1,0.04258187039965614,0.09975424971963791,0.0438,0.10675,0.04903311744981857
18,1.0,10.0,4,12,19,7,1,0.02854348132658114,0.06686727326431835,0.02645,0.0704,0.03233659455238621
