N,replica,sweep,phi,surplus,pieces,largest_frac,baby_frac,cube_frac,lx,ly,lam,cap,g,energy
64,0,12500,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,12550,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,12600,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,12650,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,12700,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,12750,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,12800,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,12850,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,12900,0.96875,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5
64,0,12950,0.96875,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5
64,0,13000,0.96875,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5
64,0,13050,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13350,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13400,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13450,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13500,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13550,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13600,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13650,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13700,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13750,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13800,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13850,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13900,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,13950,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,14000,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,14050,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,14100,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,14150,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,14200,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,14250,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,14300,1.0,0.0,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.0
64,0,14350,0.96875,0.03125,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5625
64,0,14400,0.96875,0.03125,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5625
64,0,14450,0.96875,0.03125,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5625
64,0,14500,0.96875,0.03125,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5625
64,0,14550,0.96875,0.03125,1,1.0,0.0,0.0,8,8,0.5,none,2.5,0.5625
