N,dims,C,spark,replica,lam,local_heat,sweep,h_per_vertex,d0,d1,d2,d3,d4,d5,d6,d7,melted,pieces_flat,largest_flat,bath_T,total,drift,left,final
288,4 4 18,576,5.0,0,1.4,False,17000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,17200,2.7222222222222223,0,50,136,36,36,30,0,0,66,3,17,0.2475694444444444,142.59999999999997,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,17400,2.7222222222222223,0,50,136,36,36,30,0,0,66,3,17,0.2475694444444444,142.59999999999997,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,17600,2.7666666666666666,0,40,142,38,36,30,2,0,68,3,19,0.22534722222222214,129.79999999999995,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,17800,2.75,0,40,142,38,40,26,2,0,68,3,19,0.23368055555555545,134.59999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,18000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,18200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,18400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,18600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,18800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,19000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,19200,2.705555555555555,0,50,136,34,44,24,0,0,68,2,17,0.2559027777777777,147.39999999999995,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,19400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,19600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,19800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,20000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,20200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,20400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,20600,2.705555555555555,0,50,136,36,42,22,2,0,66,3,17,0.25590277777777776,147.39999999999998,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,20800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,21000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,21200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,21400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,21600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,21800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.26423611111111106,152.19999999999996,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,22000,2.7083333333333335,0,50,136,36,44,22,0,0,66,3,17,0.2545138888888888,146.59999999999997,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,22200,2.769444444444444,0,40,142,36,44,24,2,0,70,2,19,0.22395833333333318,128.99999999999991,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,22400,2.7083333333333335,0,50,136,36,44,22,0,0,66,3,17,0.25451388888888876,146.59999999999994,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,22600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,22800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,23000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,23200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,23400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,23600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,23800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,24000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,24200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,24400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,24600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,24800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,25000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,25200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,25400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,25600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,25800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
288,4 4 18,576,5.0,0,1.4,False,26000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.264236111111111,152.19999999999993,1.1368683772161603e-13,True,False
