N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus
160,2,cool,15.85,0.24839218749999997,0.03160243292991607,0.15979420273437495,0.55956875,0.0004399154792755648,0.004155071233505969,0.5969350581228693,16,10,1.0,none,0.002303125
160,2,cool,10,0.3462109375,0.03358769476677573,0.180501318359375,0.3619104166666667,0.0008204920835510359,0.004323350371664602,1.0761125581551947,16,10,1.0,none,0.006489062499999999
160,2,cool,7.94,0.41902187500000004,0.03353729718886683,0.1799600484375,0.24833229166666668,0.0008630606455631722,0.005448303548069889,1.672861734833315,16,10,1.0,none,0.011679687499999999
160,2,cool,6.31,0.510603125,0.03395216519582183,0.18443992343750004,0.14554114583333333,0.001302918019454761,0.005476868968971592,3.1263849309161187,16,10,1.0,none,0.0225203125
160,2,cool,6.03,0.5320609375,0.03282286439733884,0.172374468359375,0.1260171875,0.0010196028177754499,0.006442067705397374,3.8465474516559586,16,10,1.0,none,0.02598125
160,2,cool,5.89,0.54023125,0.03207506515484419,0.16460956875000002,0.11828333333333334,0.0015010715007946992,0.008539941729527972,4.139112711854855,16,10,1.0,none,0.02793125
160,2,cool,5.75,0.5555703125,0.03411745763575216,0.18624014648437495,0.10803802083333333,0.001659643832437212,0.01006997577060607,5.740097813341908,16,10,1.0,none,0.030939062499999996
160,2,cool,5.62,0.5635765624999999,0.03229749406004425,0.16690049960937497,0.10181302083333334,0.0017237974898138872,0.007380537573151246,4.800002271030496,16,10,1.0,none,0.033046874999999996
160,2,cool,5.01,0.6168687500000001,0.03120365250555614,0.15578686875,0.06889322916666667,0.0018815395324618578,0.010025115681814831,7.5931822998206595,16,10,1.0,none,0.042440624999999996
160,2,cool,3.98,0.7278109375,0.029570146300721842,0.139902968359375,0.0263640625,0.00304934319747328,0.008684824543604511,23.892408219191037,16,10,1.0,none,0.080740625
160,2,cool,2.0,0.99353125,0.01244954661574069,0.024798593750000073,0.0008328125,0.00246211014574197,0.00572057430374055,206.88302939959897,16,10,1.0,none,0.178428125
160,2,cool,0.562,1.0124999999999997,2.220446049250313e-16,7.888609052210118e-30,6.822916666666666e-05,2.220446049250313e-16,0.0,nan,16,10,1.0,none,0.1875
160,2,cool,0.316,1.0124999999999997,2.220446049250313e-16,7.888609052210118e-30,6.25e-05,2.220446049250313e-16,0.0,nan,16,10,1.0,none,0.1875
160,2,cool,0.178,1.0124999999999997,2.220446049250313e-16,7.888609052210118e-30,4.479166666666667e-05,2.220446049250313e-16,0.0,nan,16,10,1.0,none,0.1875
160,2,cool,0.1,1.0124999999999997,2.220446049250313e-16,7.888609052210118e-30,5.6770833333333335e-05,2.220446049250313e-16,0.0,nan,16,10,1.0,none,0.1875
160,2,heat,0.1,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,2,heat,0.178,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,2,heat,0.316,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,2,heat,0.562,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,2,heat,2.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,2,heat,3.98,0.7708671875,0.08852083053702584,1.2537499902343752,0.013892708333333333,0.01935539543334021,0.517583007592315,312.8178587681682,16,10,1.0,none,0.0676640625
160,2,heat,5.01,0.6153515625,0.03376885233737732,0.182453662109375,0.06903645833333333,0.002293764405138263,0.015128356695833779,7.6084382469401755,16,10,1.0,none,0.043040625
160,2,heat,5.62,0.5645890625,0.032954767139916095,0.17376266835937498,0.1006125,0.0016812179676200323,0.005159809884395045,4.549289409842642,16,10,1.0,none,0.032056249999999994
160,2,heat,5.75,0.5542390625,0.03482221977051569,0.194013918359375,0.1092078125,0.0012564653465107643,0.011626688018277176,4.9722759532469984,16,10,1.0,none,0.0310875
160,2,heat,5.89,0.54304375,0.03288844247509298,0.17306394375000003,0.11748333333333333,0.001797765537540633,0.008907891843589548,4.986504840928311,16,10,1.0,none,0.0281203125
160,2,heat,6.03,0.5316640625,0.03414174322396403,0.18650538085937501,0.12783177083333333,0.001374075135755384,0.00755757913896012,3.6362744911960703,16,10,1.0,none,0.026285937500000002
160,2,heat,6.31,0.510153125,0.032739800266409304,0.1715031234375,0.1450375,0.0011947505738156446,0.006281737755491481,2.9327623753268672,16,10,1.0,none,0.02295625
