N,lx,ly,replica,k,g,lam,cap,phi,surplus,e_mean,e_var,c_per_point,m2,m4,binder,levels_seen,sweeps,tau_int,acceptance,swap_rate,round_trips,pieces,largest_frac,baby_frac,cube_frac
64,8,8,0,2,5.5,1.5,none,0.7270921875,0.06591302083333334,4.762003125,1612.4570687599996,0.8328807173347106,94496.1128,9542115823.6,0.6437986659464092,150,60000,3.949249165148704,0.057264062499999706,0.4645,17,1.0,1.0,0.0,0.0
64,8,8,0,3,4.8,1.5,none,0.7694208333333333,0.07492473958333333,4.1388151041666665,1436.4188493055558,0.9741338767534423,71600.0406,5539814830.6328,0.6397968912191381,149,60000,5.17267320065714,0.03658417968749998,0.518875,17,1.0,1.0,0.0,0.0
64,8,8,0,4,4.3,1.5,none,0.8048080729166667,0.08043125,3.6056583333333334,1350.8964861155555,1.1415769386455141,54602.058666666664,3275048671.9882665,0.633833617596951,138,60000,7.084805238139133,0.024006933593750023,0.534375,17,1.0,1.0,0.0,0.0
64,8,8,0,5,3.9,1.5,none,0.83695234375,0.08171901041666667,3.0990765625,1286.8569205233332,1.3219684012608206,40625.96953333334,1856592916.2109334,0.6250373952965043,128,60000,10.515384234350444,0.01565878906249998,0.580125,17,1.0,1.0,0.0,0.0
64,8,8,0,6,3.6,1.5,none,0.8634328125,0.07999088541666667,2.6650203125,1309.5544756433333,1.578841719284497,30400.711533333335,1079103742.7085333,0.610798552155025,136,60000,13.361187355680237,0.010505273437500068,0.595625,17,1.0001666666666666,0.9999375,0.0,0.0
64,8,8,0,7,3.35,1.5,none,0.8877901041666667,0.07320651041666666,2.234597395833333,1354.6772640788888,1.8861066831127322,21807.7482,588131912.6248,0.5877773578659911,125,60000,19.798566321002998,0.006984082031250114,0.61875,17,1.0009666666666666,0.9996364583333334,0.0,0.0
64,8,8,0,8,3.15,1.5,none,0.9101872395833334,0.06275703125,1.8135463541666668,1523.3849154655559,2.398880252370805,14994.925666666666,308689364.33306664,0.5423728552241716,118,60000,35.742272957992256,0.0046529296874999754,0.543375,17,1.0077166666666666,0.9974651041666667,0.0,0.0
64,8,8,0,9,2.95,1.5,none,0.93721015625,0.045128125,1.27540625,1355.9674573333332,2.43458678780044,8018.771333333333,110454290.91253333,0.4274074686542666,102,60000,54.32505096026103,0.0026708984374997718,0.668625,17,1.0179166666666666,0.9941901041666666,0.0,0.0
64,8,8,0,10,2.8,1.5,none,0.95246484375,0.0321828125,0.953659375,893.7384303599998,1.7812070120376275,4618.912,42705019.4016,0.33276580916989706,90,60000,41.36113902238001,0.001804492187499877,0.71225,17,1.0269166666666667,0.9914932291666667,0.0,0.0
64,8,8,0,11,2.65,1.5,none,0.9629286458333334,0.022476302083333333,0.7279994791666666,458.9031087988889,1.0210553328561964,2629.714466666667,14537205.097866667,0.2992832937223895,71,60000,13.784604655948913,0.0012154296875000043,0.781125,17,1.03395,0.9893286458333334,0.0,0.0
64,8,8,0,12,2.5,1.5,none,0.9683588541666667,0.01664375,0.6061208333333333,213.06995832888887,0.5326748958222222,1717.8685333333333,5621965.464533334,0.36498048876534095,57,60000,6.557553238597814,0.0008875000000000759,0.85,17,1.0399833333333333,0.9874984375,0.0,0.0
64,8,8,0,13,2.35,1.5,none,0.9711979166666667,0.014221614583333334,0.5461630208333333,98.51685701222223,0.2787371463677632,1320.3292666666666,2714241.733066667,0.481005483907868,44,60000,4.729415616124236,0.0007250976562500576,0.8955,17,1.0447,0.9859911458333334,0.0,0.0
64,8,8,0,14,2.2,1.5,none,0.972684375,0.013077083333333333,0.5155125,47.12568149333334,0.15213611019283746,1135.6505333333334,1643792.5189333332,0.5751493114116204,33,60000,4.145493761172932,0.0006285156250000446,0.885625,17,1.0506666666666666,0.9838901041666667,0.0,0.0
64,8,8,0,15,2.0,1.5,none,0.9740231770833333,0.012562239583333334,0.4910026041666667,23.43621597222222,0.09154771864149305,1010.9144666666666,1147416.7778666667,0.6257419778314341,27,60000,4.34051025008979,0.0005491210937500288,0.886625,17,1.0661166666666666,0.9781375,0.0,0.0
64,8,8,0,16,1.8,1.5,none,0.97524921875,0.012633854166666666,0.471815625,21.53590556,0.1038575692515432,933.3464,940842.0288,0.6399939977896435,20,60000,7.929645515836001,0.0004934570312500208,0.694,17,1.0974833333333334,0.9661239583333333,0.0,0.0
64,8,8,0,17,1.5,1.5,none,0.9788640625,0.01065234375,0.4020890625,50.169684309999994,0.3484005854861111,712.393,624612.1032,0.5897488059019186,13,60000,846.3955046575954,0.0003405273437500016,,17,1.34175,0.8729791666666666,0.0,0.0
64,8,8,1,0,8.0,1.5,none,0.6164692708333334,0.0419796875,6.388369791666666,2135.2121012222224,0.5212920168999566,169298.16826666667,30119656765.713066,0.6497128182432743,162,60000,1.6240072697143444,0.14413876953124993,0.365,21,1.0,1.0,0.0,0.0
64,8,8,1,1,6.5,1.5,none,0.6767424479166667,0.05480416666666667,5.500945833333334,1837.1884690488887,0.6794336054174884,125783.8076,16755026369.512,0.6470002590103595,163,60000,2.6595884367290687,0.09035537109375036,0.412,21,1.0,1.0,0.0,0.0
64,8,8,1,2,5.5,1.5,none,0.72750859375,0.0662328125,4.757259375,1619.0944135066666,0.8363090978856749,94317.78706666667,9511524284.677866,0.6435967454285224,149,60000,4.0471066480547995,0.05695810546875009,0.466875,21,1.0,1.0,0.0,0.0
64,8,8,1,3,4.8,1.5,none,0.7703666666666666,0.07469791666666667,4.122320833333333,1460.6503325155554,0.9905669030189043,71066.14533333333,5467765261.886933,0.639119772939811,143,60000,5.372993167085836,0.036310839843750026,0.536625,21,1.0,1.0,0.0,0.0
64,8,8,1,4,4.3,1.5,none,0.80426640625,0.07938020833333333,3.60801875,1310.5277990933332,1.1074633240039662,54631.43373333333,3269340876.5189333,0.6348647568676515,136,60000,6.344221092224356,0.024057617187499918,0.541625,21,1.0,1.0,0.0,0.0
64,8,8,1,5,3.9,1.5,none,0.83583984375,0.08084375,3.111625,1255.1803306666668,1.289427525750603,40913.51306666667,1876741711.6714666,0.6262771022033331,133,60000,8.944682373872766,0.01566874999999996,0.578375,21,1.0001666666666666,0.9999375,0.0,0.0
64,8,8,1,6,3.6,1.5,none,0.8632619791666667,0.07837786458333333,2.6580755208333335,1347.700683305556,1.6248320352352863,30287.437666666665,1073828474.1346667,0.6097988056903787,135,60000,12.540686054273113,0.010417382812500015,0.58875,21,1.0001666666666666,0.9999375,0.0,0.0
64,8,8,1,7,3.35,1.5,none,0.8883875,0.07107447916666666,2.212246875,1445.95437756,2.013191102639786,21491.9268,577297122.8848,0.5833921653828078,127,60000,22.939550863575988,0.006851953125000029,0.601875,21,1.0009166666666667,0.9996916666666666,0.0,0.0
64,8,8,1,8,3.15,1.5,none,0.9127434895833333,0.058779947916666665,1.7487838541666667,1608.4997419722224,2.5329109063558555,14135.071133333333,283147417.2733333,0.5276158109707529,115,60000,47.117940103552286,0.004443749999999922,0.56375,21,1.0026666666666666,0.9990963541666666,0.0,0.0
64,8,8,1,9,2.95,1.5,none,0.939371875,0.04111640625,1.2167484375,1414.2748570566669,2.539275454353395,7478.307666666667,101985747.71386667,0.3921287933818345,105,60000,75.94805985627774,0.002621679687499775,0.66575,21,1.0014166666666666,0.9994880208333333,0.0,0.0
64,8,8,1,10,2.8,1.5,none,0.9553723958333333,0.027629947916666668,0.8798213541666666,860.9709866122221,1.7159019981908128,4031.625666666667,35519118.44506667,0.2715822486580618,91,60000,31.18260471848541,0.0016767578124998923,0.732625,21,1.0009,0.9996640625,0.0,0.0
64,8,8,1,11,2.65,1.5,none,0.9652052083333333,0.0191796875,0.6717947916666667,402.30010698222225,0.8951141575788142,2250.8586666666665,11310759.191466667,0.25582675955833245,69,60000,8.322839533768484,0.0011532226562500367,0.80075,21,1.00055,0.9997927083333333,0.0,0.0
64,8,8,1,12,2.5,1.5,none,0.9699145833333334,0.0146453125,0.5692385416666667,181.28134239555558,0.45320335598888895,1508.5185333333334,4302369.8341333335,0.3697901529593859,55,60000,4.526655504677682,0.0008797851562500838,0.852875,21,1.00035,0.999859375,0.0,0.0
64,8,8,1,13,2.35,1.5,none,0.9722611979166667,0.012428125,0.5183895833333333,88.33136126222223,0.24991897143000855,1189.0402666666666,2103823.594666667,0.5039848490257889,40,60000,3.6990791508450664,0.000722558593750067,0.873,21,1.0001333333333333,0.9999541666666667,0.0,0.0
64,8,8,1,14,2.2,1.5,none,0.9739604166666667,0.011718229166666667,0.4869427083333333,58.70939455555555,0.18953187808482547,1029.9250666666667,1398424.5354666666,0.5605529799523061,38,60000,3.539698410262409,0.0006065429687500469,0.83,21,1.0002,0.9999270833333334,0.0,0.0
64,8,8,1,15,2.0,1.5,none,0.9764807291666666,0.011353385416666667,0.44442864583333336,55.31983354555555,0.21609309978732635,864.3487333333334,923342.5853333334,0.588031878172095,29,60000,5.364298418232425,0.000489746093750027,0.774875,21,1.0,1.0,0.0,0.0
64,8,8,1,16,1.8,1.5,none,0.9802002604166666,0.01126171875,0.38436614583333334,66.99487967888888,0.32308487499464156,672.127,603242.2008,0.5548895633799957,20,60000,13.370608923885941,0.0003957031250000123,0.635375,21,1.0,1.0,0.0,0.0
64,8,8,1,17,1.5,1.5,none,0.9858059895833333,0.009425260416666666,0.28365572916666665,80.8858275988889,0.5617071361033951,410.45233333333334,278671.4349333333,0.44862668778118153,15,60000,1875.3305550686305,0.00027832031249999564,,21,1.0,1.0,0.0,0.0
64,8,8,2,0,8.0,1.5,none,0.6164479166666667,0.041927864583333335,6.388400520833334,2153.8565317322223,0.5258438798174371,169318.42086666665,30134373870.019466,0.6496254938668384,169,60000,1.681118695652599,0.14432558593749975,0.368875,23,1.0,1.0,0.0,0.0
64,8,8,2,1,6.5,1.5,none,0.6762151041666666,0.0546984375,5.508748958333333,1815.8847413288888,0.6715550078879027,126114.39133333333,16826721265.178133,0.6473458900747641,157,60000,2.478983471645108,0.09065781250000006,0.408625,23,1.0,1.0,0.0,0.0
64,8,8,2,2,5.5,1.5,none,0.7276830729166667,0.06593515625,4.752681770833333,1602.0223419988888,0.8274908791316574,94122.40486666666,9465920767.773067,0.6438314402103567,148,60000,3.814832602303552,0.05684951171875013,0.459625,23,1.0,1.0,0.0,0.0
64,8,8,2,3,4.8,1.5,none,0.7702229166666666,0.07430911458333334,4.1222880208333335,1438.7624746122221,0.9757232493843738,71043.1494,5459044081.4616,0.6394620916476477,148,60000,5.248660080013122,0.03631718750000001,0.520625,23,1.0,1.0,0.0,0.0
64,8,8,2,4,4.3,1.5,none,0.8052247395833333,0.07962135416666667,3.5941322916666665,1338.5034013822224,1.1311041453000121,54249.75866666667,3234966509.3706665,0.6336021529361422,141,60000,7.055721169938313,0.02384160156250009,0.548625,23,1.0,1.0,0.0,0.0
