N,C,lam,k,replica,seed_columns,planted_cost,f_final,phi_final,bath_T,drift,acceptance,d0,d1,d2,d3,d4,d5,d6,pieces_d1,sizes_d1,h_final
96,24,1.25,1,13,0,12.0,1.0833333333333335,0.9791666666666666,2.3333333333333335,0.0,0.0006899305555555556,0,0,88,8,0,0,0,0,,52.0
96,24,1.25,1,14,0,12.0,1.1666666666666665,0.9583333333333334,0.7916666666666666,0.0,0.0005590277777777778,0,0,82,12,2,0,0,0,,89.0
96,24,1.25,1,15,0,12.0,1.0416666666666665,0.9895833333333334,1.75,0.0,0.0005069444444444444,0,0,92,4,0,0,0,0,,66.0
96,24,1.25,1,16,0,12.0,1.125,0.96875,1.6666666666666667,0.0,0.000590625,0,1,82,13,0,0,0,1,1,68.0
96,24,1.25,1,17,0,12.0,1.0833333333333335,0.9791666666666666,3.1666666666666665,0.0,0.0004746527777777778,0,0,88,8,0,0,0,0,,32.0
96,24,1.25,1,18,0,12.0,1.0416666666666665,0.9895833333333334,2.7916666666666665,0.0,0.0008442708333333334,0,2,88,6,0,0,0,1,2,41.0
96,24,1.25,1,19,0,12.0,1.0,1.0,2.0,0.0,0.0005001736111111111,0,8,80,8,0,0,0,1,8,60.0
96,36,1.25,1,0,0,12.0,1.0,1.0,3.0,0.0,0.00033055555555555556,0,0,96,0,0,0,0,0,,0.0
96,36,1.25,1,1,0,12.0,1.0,1.0,2.4444444444444446,0.0,0.00034010416666666667,0,0,96,0,0,0,0,0,,20.0
96,36,1.25,1,2,0,12.0,1.0,1.0,2.4444444444444446,0.0,0.0002842013888888889,0,2,92,2,0,0,0,1,2,20.0
96,36,1.25,1,3,0,12.0,1.0416666666666665,0.9895833333333334,1.3055555555555556,0.0,0.00043472222222222225,0,4,84,8,0,0,0,2,2 2,61.0
96,36,1.25,1,4,0,12.0,1.0,1.0,1.75,0.0,0.00039288194444444445,0,2,92,2,0,0,0,1,2,45.0
96,36,1.25,1,5,0,12.0,0.958333333333333,1.0104166666666667,2.611111111111111,0.0,0.00037934027777777776,0,4,92,0,0,0,0,1,4,14.0
96,36,1.25,1,6,0,12.0,0.958333333333333,1.0104166666666667,2.4722222222222223,0.0,0.00039791666666666664,0,4,92,0,0,0,0,2,2 2,19.0
96,36,1.25,1,7,0,12.0,1.0416666666666665,0.9895833333333334,1.7222222222222223,0.0,0.00039253472222222223,0,2,88,6,0,0,0,1,2,46.0
96,36,1.25,1,8,0,12.0,1.0,1.0,2.3055555555555554,0.0,0.0003703125,0,2,92,2,0,0,0,1,2,25.0
96,36,1.25,1,9,0,12.0,0.958333333333333,1.0104166666666667,2.611111111111111,0.0,0.0003060763888888889,0,4,92,0,0,0,0,1,4,14.0
96,36,1.25,1,10,0,12.0,0.958333333333333,1.0104166666666667,1.9166666666666667,0.0,0.0009166666666666666,1,6,85,4,0,0,0,3,3 2 1,39.0
96,36,1.25,1,11,0,12.0,0.958333333333333,1.0104166666666667,2.3333333333333335,0.0,0.00033940972222222223,0,4,92,0,0,0,0,2,2 2,24.0
96,36,1.25,1,12,0,12.0,0.958333333333333,1.0104166666666667,2.3333333333333335,0.0,0.00036805555555555555,0,6,88,2,0,0,0,2,3 3,24.0
96,36,1.25,1,13,0,12.0,1.0,1.0,2.3055555555555554,0.0,0.00041319444444444444,0,2,92,2,0,0,0,1,2,25.0
96,36,1.25,1,14,0,12.0,1.0416666666666665,0.9895833333333334,2.138888888888889,0.0,0.0003862847222222222,0,2,88,6,0,0,0,1,2,31.0
96,36,1.25,1,15,0,12.0,1.0416666666666665,0.9895833333333334,1.7222222222222223,0.0,0.00039322916666666667,0,2,88,6,0,0,0,1,2,46.0
96,36,1.25,1,16,0,12.0,1.0833333333333335,0.9791666666666666,1.5555555555555556,0.0,0.0003671875,0,0,88,8,0,0,0,0,,52.0
96,36,1.25,1,17,0,12.0,1.0833333333333335,0.9791666666666666,2.111111111111111,0.0,0.0003232638888888889,0,0,88,8,0,0,0,0,,32.0
96,36,1.25,1,18,0,12.0,1.0416666666666665,0.9895833333333334,1.5833333333333333,0.0,0.0003067708333333333,0,4,84,8,0,0,0,2,2 2,51.0
96,36,1.25,1,19,0,12.0,1.0,1.0,2.4444444444444446,0.0,0.0003104166666666667,0,2,92,2,0,0,0,1,2,20.0
96,48,1.25,1,0,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00024756944444444446,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,1,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00029756944444444443,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,2,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.0002282986111111111,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,3,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00023159722222222223,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,4,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00026597222222222224,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,5,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00023958333333333332,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,6,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00020954861111111112,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,7,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.0002453125,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,8,0,12.0,1.0,1.0,1.8333333333333333,0.0,0.00018090277777777777,0,0,96,0,0,0,0,0,,20.0
96,48,1.25,1,9,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00026163194444444443,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,10,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00015555555555555556,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,11,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.0002402777777777778,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,12,0,12.0,0.958333333333333,1.0104166666666667,1.9583333333333333,0.0,0.00020538194444444445,0,4,92,0,0,0,0,1,4,14.0
96,48,1.25,1,13,0,12.0,1.0,1.0,1.4166666666666667,0.0,0.0002439236111111111,0,4,88,4,0,0,0,2,2 2,40.0
